,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate
2016-12-31 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01 00:00:00,0.0,282.6006,77.40723,101262.97,0.004875227,284.292,-0.3906624,-2.2108579,0.0
2017-01-01 01:00:00,0.0078125,285.24222,0.0,101330.69,0.0048678676,283.84088,0.8617501,-1.5701687,2.170139e-06
2017-01-01 02:00:00,0.0,289.5143,0.0,101354.0,0.005063728,283.58563,2.1084275,-0.92978966,0.0
2017-01-01 03:00:00,0.0,272.1463,0.0,101431.3,0.0054140394,283.3213,3.361216,-0.29032442,0.0
2017-01-01 04:00:00,0.0,271.72183,0.0,101487.88,0.0056696436,282.85892,3.4925332,-0.6273302,0.0
2017-01-01 05:00:00,0.0,267.15967,0.0,101435.375,0.0054199663,281.76236,3.6221805,-0.9561717,0.0
2017-01-01 06:00:00,0.0,262.5575,0.0,101476.875,0.005186606,281.14215,3.745729,-1.2899135,0.0
2017-01-01 07:00:00,0.0,261.4937,0.0,101475.67,0.0050377822,281.09912,3.9786391,-0.7730279,0.0
2017-01-01 08:00:00,0.0,259.73138,0.0,101508.11,0.005094241,280.7215,4.210705,-0.25049138,0.0
2017-01-01 09:00:00,0.0,262.55072,0.0,101442.5,0.00555318,281.12057,4.436963,0.26552284,0.0
2017-01-01 10:00:00,0.0,270.36188,0.0,101379.89,0.0061862324,282.6256,4.4963703,0.39043522,0.0
2017-01-01 11:00:00,0.0,271.8659,0.0,101394.53,0.006269821,282.93088,4.5544376,0.5131195,0.0
2017-01-01 12:00:00,0.0,265.65387,0.0,101367.05,0.0060804114,282.82565,4.61277,0.63326764,0.0
2017-01-01 13:00:00,0.0,264.62927,0.0,101331.19,0.0058446666,282.24396,4.325264,0.32553226,0.0
2017-01-01 14:00:00,0.03125,266.70963,0.0,101336.43,0.005868405,282.26855,4.04302,0.015674375,8.680556e-06
2017-01-01 15:00:00,0.03125,275.5332,0.0,101354.64,0.00617828,282.84845,3.763539,-0.29589134,8.680556e-06
2017-01-01 16:00:00,0.0,267.91797,73.56325,101332.13,0.005977144,282.854,4.1526203,-0.051837564,0.0
2017-01-01 17:00:00,0.0,259.63852,196.11272,101360.41,0.005721096,282.65784,4.540998,0.18443438,0.0
2017-01-01 18:00:00,0.0,264.7841,326.74908,101439.44,0.005378075,282.6154,4.931005,0.42645416,0.0
2017-01-01 19:00:00,0.0,265.84134,408.30606,101370.21,0.005435336,283.42877,5.429878,-0.047030833,0.0
